운영형태,관리기관명,주차장명,주차장관리번호,소재지지번주소,소재지도로명주소,전화번호,주차장유형,주차구획수,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,급지구분,주차기본요금,1일주차권요금,월정기권요금,위도,경도,데이터기준일자,주차장구분,부제시행구분,운영요일,요금정보,주차기본시간,추가단위시간,추가단위요금,1일주차권요금적용시간,결제방법,특기사항,실시간주차면수
민간위탁,부산광역시 사상구청,감전중고차시장주변,2007001083,사상구 학감대로221번길 26 (감전동 156-1),-,051-310-4502,노상,108,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,199173.9371,184283.9341,01/11/2019,공영,-,-,-,10,10,100,-,-,-,-
민간위탁,부산광역시 사상구청,해표사료주변,2007001479,사상구 새벽시장로9번길 28 (감전동 127-1),-,051-310-4503,노상,105,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,197945.2469,184640.2613,04/15/2019,공영,-,-,-,10,10,100,-,-,-,-
민간위탁,부산광역시 사상구청,동서고가도로밑주변,2007001240,사상구 백양대로445번길 2 (주례동 394),-,051-310-4503,노상,90,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,200255.3284,183992.4431,12/11/2018,공영,-,-,-,10,10,100,-,-,-,-
민간위탁,부산광역시 사상구청,주례역주변 복개,2009000015,-,사상구 주례3동 1233-7,010-2269-3006,노외,87,9:00,20:00,9:00,20:00,10:00,18:00,2,300,8000,0,-,-,12/27/2018,공영,-,-,-,10,10,300,-,-,-,-
구(군)직영,부산광역시 사상구청,한마음주변,2009000016,-,사상구 삼락동 411-2,051-310-4501,노외,18,19:00,20:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/15/2014,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 사상구청,냉정역4번출구주변,2009000020,-,사상구 주례2동 24-2,051-310-4501,노외,14,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/15/2014,공영,-,-,-,10,10,0,-,-,-,-
민간위탁,부산광역시 사상구청,엄궁외식1번가주변,2010000003,사상구 농산물시장로 36 (엄궁동 652-7),-,051-310-4503,노상,1,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,196902.1115,181156.5867,12/12/2018,공영,-,-,-,10,10,100,-,-,-,-
구(군)직영,부산광역시 사상구청,감전시장주변,2010000006,-,사상구 감전동 120-31,051-310-4501,노외,8,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/27/2015,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 사상구청,동주윗길2주변,2010000007,-,사상구 주례3동 544-27,051-310-4501,노외,5,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/27/2015,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 사상구청,동주윗길3주변,2010000008,-,사상구 주례3동 544-52,051-310-4501,노외,4,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/27/2015,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 사상구청,엄궁목장길주변,2010000011,-,사상구 엄궁동 186-5,051-310-4501,노외,15,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/27/2015,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 사상구청,학진초등학교주변,2010000012,-,사상구 엄궁동 25-7,051-310-4501,노외,11,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/27/2015,공영,-,-,-,10,10,0,-,-,-,-
민간위탁,부산광역시 중구청,부산데파트 뒤 노상공영주차장,2007001008,중구 해관로 41-2 (중앙동2가 49-31)  일원,-,600-4556,노상,76,9:00,20:00,9:00,20:00,9:00,20:00,1,500,0,0,203307.4369,178535.1456,02/18/2019,공영,-,-,-,10,10,500,-,-,-,-
민간위탁,부산광역시 수영구청,민락매립지공영주차장,2007011150,수영구 민락수변로17번길 60 (민락동 113-46) 민락매립지공영주차장(민락동 113-46),-,051-757-5055,노외,128,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,2,300,8000,160000,211606.2555,184239.5539,05/22/2015,공영,-,-,-,10,10,300,-,-,-,-
민간위탁,부산광역시 수영구청,망미동(번영로하부)공영주차장,2009000009,-,수영구 망미2동 603-2,-,노상,95,8:00,20:00,8:00,20:00,0:00,0:00,4,100,2400,52000,-,-,02/11/2020,공영,-,-,-,10,10,100,-,-,-,-
민간위탁,부산광역시 수영구청,광안동(번영로하부)공영주차장,2009000010,-,수영구 광안3동 1033-2,-,노상,84,8:00,20:00,8:00,20:00,8:00,20:00,4,100,2400,52000,-,-,11/01/2018,공영,-,-,-,10,10,100,-,-,-,-
민간위탁,부산광역시 수영구청,망미동 노외공영주차장,2012000001,수영구 금련로43번길 43-18 (망미동 970-41) 망미동노외공영주차장 (망미동 979-73),-,-,노외,171,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,100,2400,52000,-,-,05/22/2015,공영,-,-,-,10,10,100,-,-,-,-
민간위탁,부산광역시 수영구청,광안리해수욕장공영주차장,2009000004,수영구 남천바다로33번길 75 (광안동 198-3) 광안리해수욕장공영주차장 (광안동 198-3),-,-,노외,54,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,2,500,15000,240000,210563.8086,183916.5123,05/22/2015,공영,-,-,-,10,10,500,-,-,-,-
민간위탁,부산광역시 수영구청,남천1동공영주차장,2007001294,-,수영구 남천1동 568,-,노상,66,10:00,22:00,10:00,22:00,0:00,0:00,3,200,4700,90000,209942.372,182587.358,02/11/2020,공영,-,-,-,10,10,200,-,-,-,-
민간위탁,부산광역시 사상구청,동신운수옆복개공영주차장,2016000001,사상구 가야대로230번길 3 (주례동 1160-53),-,-,노상,91,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,199779.1691,183650.5207,12/11/2018,공영,-,-,-,10,10,100,-,-,-,-
시설관리공단위탁,부산광역시 사상구청,삼락재첩거리,2016000004,사상구 낙동대로1518번길 26 (삼락동 71-10) 삼락동,-,051-301-6485,노외,127,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,100,2400,52000,-,-,02/04/2019,공영,-,-,-,10,10,100,-,-,-,-
구(군)직영,부산광역시 사상구청,곡상골공원주거지주차장,2016000005,사상구 백양대로979번라길 25 (모라동 1335-15),-,-,노외,5,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,199161.0691,188151.6519,09/01/2016,공영,-,-,-,10,10,0,-,-,-,-
민간위탁,부산광역시 사상구청,학장천공영주차장,2016000007,사상구 학장로 256 (주례동 1287),-,-,노외,90,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,100,2400,52000,199353.8505,183253.3976,01/18/2019,공영,-,-,-,10,10,100,-,-,-,-
구(군)직영,부산광역시 사상구청,한신1차아파트주변,2007001599,-,사상구 괘법동 516-56,-,노외,39,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,07/15/2014,공영,-,-,-,10,10,0,-,-,-,-
민간위탁,부산광역시 사상구청,한국강관주변,2007001158,사상구 학장로135번길 24-9 (학장동 237-2),-,051-310-4502,노상,356,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,197799.9138,183742.8132,06/03/2019,공영,-,-,-,10,10,100,-,-,-,-
민간위탁,부산광역시 사상구청,신일금속주변,2007001505,사상구 장인로77번길 116 (학장동 723-1),-,051-310-4503,노상,389,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,198187.7752,183671.8172,12/06/2019,공영,-,-,-,10,10,100,-,-,-,-
시설관리공단위탁,부산광역시 사상구청,덕포공영,2008000006,-,사상구 덕포2동 393-6,010-8521-2233,노외,128,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,100,2400,52000,-,-,12/27/2018,공영,-,-,-,10,10,100,-,-,-,-
시설관리공단위탁,부산광역시 사상구청,서부터미널,2008000009,-,사상구 괘법동 572-1,010-8521-2233,노상,136,8:00,19:00,8:00,19:00,10:00,18:00,1,500,15000,0,-,-,12/27/2018,공영,-,-,-,10,10,500,-,-,-,-
구(군)직영,부산광역시 사상구청,삼락재첩거리주변,2012000005,-,사상구 삼락동 54-13,051-310-4501,노외,29,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/15/2014,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 사상구청,경남정보대학주변,2013000003,-,사상구 주례2동 80-2,051-310-4501,노외,11,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/15/2014,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 사상구청,삼락생태공원주거지,2013000004,-,사상구 삼락동 419-20,051-310-4501,노외,10,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/15/2014,공영,-,-,-,10,10,0,-,-,-,-
민간위탁,부산광역시 사상구청,고동바위공영주차장,2013000006,사상구 백양대로907번다길 6 (모라동 1359),-,051-310-4502,노외,41,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,100,2400,52000,199123.3924,187995.9708,12/12/2018,공영,-,-,-,10,10,100,-,-,-,-
구(군)직영,부산광역시 사상구청,덕포한내마을,2013000007,-,사상구 덕포1동 422-4,051-310-4501,노외,17,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/15/2014,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 사상구청,현대골드빌라주변,2014000005,사상구 사상로277번나길 26 (사상구 삼락동 417-18),-,051-310-4501,노외,22,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/15/2014,공영,-,-,-,10,10,0,-,-,-,-
시설관리공단위탁,부산광역시 사상구청,삼락천로 공영주차장,2014000006,-,사상구 덕포2동 393-2,010-8521-2233,노외,112,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,100,2400,52000,-,-,12/27/2018,공영,-,-,-,10,10,100,-,-,-,-
구(군)직영,부산광역시 사상구청,안각1길주거지주차장,2014000007,사상구 백양대로907번길 17 (모라동 391),-,-,노외,12,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,02/07/2017,공영,-,-,-,10,10,0,-,-,-,-
민간위탁,부산광역시 사상구청,모라중학교 지하 공영주차장,2019000003,사상구 백양대로 936 (모라동 1348),-,-,노외,136,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,-,-,-,-,199284.8718,188162.6365,07/23/2019,공영,-,-,-,10,10,-,-,-,-,-
민간위탁,부산광역시 사상구청,감전역역세권공영주차장,2019000004,사상구 새벽시장로 135 (감전동 134-7),-,-,노외,215,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,3,200,4700,0,198964.2034,184180.3317,12/02/2019,공영,-,-,-,10,10,200,-,-,-,-
민간위탁,부산광역시 사상구청,덕포백양공원공영주차장,2015000001,사상구 백양대로762번길 17 (덕포동 776-1),-,051-310-4502,노외,50,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,100,2400,52000,199037.9541,186511.015,12/07/2018,공영,-,-,-,10,10,100,-,-,-,-
구(군)직영,부산광역시 사상구청,늘푸른사상,2015000002,사상구 백양대로979번가길 14 (모라동 1330-5),-,-,노외,10,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,-,-,40000,-,-,06/15/2015,공영,-,-,-,10,10,-,-,-,-,-
민간위탁,부산광역시 사상구청,감전시장주변,2007001085,사상구 괘감로 132 (감전동 119-6),-,051-310-4502,노상,111,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,198676.3978,184295.7365,03/27/2019,공영,-,-,-,10,10,100,-,-,-,-
민간위탁,부산광역시 사상구청,주례역공영주차장,2015000003,사상구 가야대로 288 (주례동 506),-,-,노상,22,8:00,20:00,8:00,15:00,0:00,0:00,2,300,8000,0,200369.7483,183758.5371,12/11/2018,공영,-,-,-,10,10,300,-,-,-,-
민간위탁,부산광역시 사상구청,주례오거리공영주차장,2015000004,사상구 가야대로255번길 1 (주례동 743-2),-,-,노상,95,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,200120.3501,183866.7534,12/11/2018,공영,-,-,-,10,10,100,-,-,-,-
민간위탁,부산광역시 사상구청,양지2공원주변,2007011018,사상구 양지로 18 (주례동 314),-,051-310-4503,노외,74,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,100,2400,52000,200425.1616,184177.4221,12/12/2018,공영,-,-,-,10,10,100,-,-,-,-
민간위탁,부산광역시 사상구청,사상초등학교주변,2007001339,사상구 운산로 81 (덕포동 752-3),-,051-310-4502,노상,33,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,198534.6631,185677.4533,01/18/2019,공영,-,-,-,10,10,100,-,-,-,-
구(군)직영,부산광역시 사상구청,남산길주변,2007001789,-,사상구 엄궁동 192,051-310-4501,노외,15,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/27/2015,공영,-,-,-,10,10,0,-,-,-,-
민간위탁,부산광역시 사상구청,사상전화국주변,2007001459,사상구 가야대로176번길 53 (학장동 281-9),-,051-310-4503,노상,271,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,199801.7711,183822.5109,06/03/2019,공영,-,-,-,10,10,100,-,-,-,-
민간위탁,부산광역시 사상구청,파라곤호텔주변,2007001087,사상구 광장로 34 (괘법동 565-6),-,051-310-4502,노상,34,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,198424.7622,185068.9916,12/12/2018,공영,-,-,-,10,10,100,-,-,-,-
시설관리공단위탁,부산광역시 사상구청,사상역광장,2007001793,-,사상구 괘법동 572-1,051-860-7705,노외,360,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,2,300,8000,0,-,-,02/04/2019,공영,-,-,-,10,10,300,-,-,-,-
구(군)직영,부산광역시 강서구청,"범방동1859-15,1854-6",2019000009,강서구,-,-,노외,13,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,-,-,-,-,-,-,06/18/2019,공영,-,-,-,10,10,-,-,-,-,-
구(군)직영,부산광역시 강서구청,명지동3174-38,2019000018,강서구,-,-,노외,18,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,-,-,-,-,-,-,09/18/2019,공영,-,-,-,10,10,-,-,-,-,-
구(군)직영,부산광역시 강서구청,범방동1859-2,2019000003,강서구,-,-,노외,7,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,-,-,-,-,-,-,06/18/2019,공영,-,-,-,10,10,-,-,-,-,-
구(군)직영,부산광역시 강서구청,범방동1849-8,2019000005,강서구,-,-,노외,9,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,-,-,-,-,-,-,06/18/2019,공영,-,-,-,10,10,-,-,-,-,-
구(군)직영,부산광역시 강서구청,범방동1848-3,2019000007,강서구,-,-,노외,8,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,-,-,-,-,-,-,06/18/2019,공영,-,-,-,10,10,-,-,-,-,-
구(군)직영,부산광역시 강서구청,범방동1845,2019000008,강서구,-,-,노외,25,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,-,-,-,-,-,-,06/18/2019,공영,-,-,-,10,10,-,-,-,-,-
구(군)직영,부산광역시 강서구청,"동선동1066-1,3",2019000011,강서구,-,-,노외,30,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,-,-,-,-,-,-,06/18/2019,공영,-,-,-,10,10,-,-,-,-,-
