행정구역,업소명,소재지,전화번호,관리구분
부산 영도구,부산에너지,"부산 영도구 해양로 160 (청학동, 부산에너지충전소내)",051-0403-5752,용기+자동차+탱크+13kg용기
부산 영도구,개인택시 영도LPG충전소,부산 영도구 해양로 296 (동삼동),051-0403-8987,자동차충전
부산 해운대구,이원 해운대LPG충전소,부산 해운대구 해운대로 1255 (송정동),051-0704-9196,용기+자동차+탱크+13kg용기
대구 남구,(주)경북가스남부충전소,대구 남구 성당로 22 남부가스충전소,053-0624-4834,자동차충전
대구 달서구,대성산업(주)구마충전소,대구 달서구 구마로 67,053-0521-9537,자동차충전
대구 달서구,계명LPG충전소,대구 달서구 달구벌대로 1250,053-0584-5311,자동차충전
대구 달서구,대기에너지(주),대구 달서구 달구벌대로 1631,053-0553-8800,자동차충전
대구 달서구,(주)대천에너지,대구 달서구 달서대로 109,053-0581-5050,자동차충전
대구 달서구,(주)이엔아이,대구 달서구 두류공원로 127,053-0656-8017,자동차충전
대구 달서구,구상엘피지충전소,대구 달서구 성서4차첨단로 184,053-0581-7700,자동차충전
대구 달서구,남대구IC충전소,대구 달서구 성서공단로 319,053-0592-8600,자동차+13kg용기
대구 달서구,(주)한성엘피지,대구 달서구 성서공단로 346(월성동),053-0593-3111,자동차충전
대구 달서구,SK가스세영충전소,대구 달서구 성서공단북로69길 33,053-0581-6145,용기+탱크+13kg용기
대구 달서구,대구LPG충전소,대구 달서구 송현로 55 (상인동),053-0632-3381,용기+자동차+13kg용기
대구 달서구,대구개인택시운송사업조합제2충전소,대구 달서구 와룡로 159,053-0559-0102,자동차충전
대구 달성군,가창엘피지충전소,대구 달성군 가창면 가창로199길 19,053-0768-1990,자동차충전
대구 달성군,봄봄봄LPG충전소,대구 달성군 구지면 달성2차로 161,053-0615-5188,자동차충전
대구 달성군,논공(광주방향)충전소,대구 달성군 논공읍 광주대구고속도로 169,053-4304-0610,자동차충전
대구 달성군,논공(대구방향)충전소,대구 달성군 논공읍 광주대구고속도로 170,053-4304-0630,자동차충전
대구 달성군,홍토가스충전소,대구 달성군 논공읍 비슬로 1065,053-0616-3800,자동차충전
대구 달성군,그린에너지프라자,대구 달성군 논공읍 비슬로 1705,053-0616-8008,자동차충전
대구 달성군,문산엘피지충전소,대구 달성군 다사읍 달구벌대로 432,053-0584-7089,자동차충전
대구 달성군,(주)한성엘피지옥포충전소,대구 달성군 옥포면 옥포로 354,053-0617-8010,자동차충전
대구 달성군,달성엘피지충전소,대구 달성군 현풍면 논공로 70,053-0616-0777,자동차충전
대구 달성군,한국도로공사 현풍LPG충전소(대구방향),대구 달성군 현풍면 비슬로 741(현풍대구방향)주유소,053-0614-2508,자동차충전
대구 달성군,가람충전소,대구 달성군 현풍면 비슬로 799,053-0616-5183,자동차충전
대구 달성군,현풍(하)LPG충전소 풀무원식품(주),대구 달성군 현풍면 성하길 119,053-0614-2437,자동차충전
대구 동구,아주에너지(주)아주LPG충전소,대구 동구 공항로 149,053-0985-9851,자동차충전
대구 동구,신대한LPG제1,대구 동구 동부로 89,053-0752-8411,자동차충전
대구 동구,케이케이(주)달구벌충전소,대구 동구 동촌로 205,053-0983-6051,자동차충전
대구 동구,율하LPG충전소,대구 동구 안심로 24,053-0956-3700,자동차충전
대구 동구,동도엘피지충전소,대구 동구 안심로 34,053-0962-1212,자동차충전
대구 동구,팔공산엘피지충전소,대구 동구 팔공산로 279,053-0986-8030,자동차충전
대구 동구,동원LPG충전소,대구 동구 혁신대로 386,053-0963-6000,자동차충전
대구 동구,(주)경북가스,대구 동구 효신로16길 122,053-0751-7777,용기+자동차+13kg용기
대구 북구,대구개인택시조합충전소,대구 북구 검단로 산 174 A동,053-0382-6300,자동차충전
대구 북구,(주)한신가스,대구 북구 노원로 229,053-0341-0041,용기+자동차+탱크+13kg용기
대구 북구,(주)대평제2LPG충전소,대구 북구 동북로 212,053-0953-9000,자동차충전
대구 북구,북대구LPG충전소,대구 북구 동북로 3,053-0384-5177,자동차충전
대구 북구,(주)칠곡아이씨충전소,대구 북구 매천로 307,053-0327-2277,용기+자동차+탱크+13kg용기+부탄
대구 북구,대성산업(주)남경대성LPG충전소,대구 북구 사수로 406,053-0311-0311,자동차충전
대구 북구,경원LPG충전소,대구 북구 사수로 432,053-0312-2552,자동차+탱크
대구 북구,(주)팔달에너지,대구 북구 칠곡중앙대로 132,053-0314-4001,자동차충전
대구 북구,읍내IC충전소,대구 북구 칠곡중앙대로 736,053-0321-0095,자동차충전
대구 북구,대성산업(주)대구가스부,대구 북구 침산로 60,053-0358-6124,용기+자동차+13kg용기
대구 북구,대구개인택시운송조합 제5충전소,대구 북구 팔달로 67,053-0327-7710,자동차충전
대구 북구,서변엘피지충전소,대구 북구 호국로 129 서변LPG충전소,053-0939-1991,자동차충전
대구 서구,대구개인택시운송사업조합 제6충전소,대구 서구 국채보상로 25,053-0554-9192,자동차충전
대구 서구,청구엘피지충전소,대구 서구 국채보상로 92 청구LPG충전소,053-0552-1123,자동차충전
대구 서구,서대구IC충전소,"대구 서구 북비산로 48 서대구IC충전소 , 주유소",053-0566-0009,자동차충전
대구 서구,신대한LPG,대구 서구 서대구로 121,053-0566-2609,자동차충전
대구 서구,화성가스(주),대구 서구 와룡로 346 화성가스(주),053-0565-0223,용기+자동차+탱크+13kg용기
대구 서구,경북산소(주),대구 서구 와룡로100길 54,053-0562-1614,용기+탱크
대구 수성구,동대구가스충전소,대구 수성구 국채보상로 913,053-0755-0401,자동차충전
대구 수성구,(주)동산가스충전소,대구 수성구 동대구로 116,053-0763-8877,자동차충전
대구 수성구,대공원충전소(주),대구 수성구 동대구로 255,053-0763-6022,자동차충전
대구 수성구,대구개인택시운송사업조합제1충전소,대구 수성구 수성로 286,053-0763-0153,자동차충전
대구 수성구,상동엘피지충전소,대구 수성구 신천동로 51 상동LPG충전소,053-0764-5050,자동차충전
대구 수성구,(주)동일가스,대구 수성구 청수로 1,053-0762-8855,자동차충전
인천 강화군,(주)일영 강화LPG충전소,인천 강화군 강화읍 강화대로 288,032-0932-2270,자동차충전
인천 강화군,강화에너지,인천 강화군 강화읍 중앙로 67 외1필지,032-0933-0950,자동차충전
인천 계양구,갈현 LPG충전소,인천 계양구 드림로 861,032-0508-1943,자동차충전
인천 계양구,장기충전소,인천 계양구 드림로 932,032-0521-0336,자동차충전
인천 계양구,계양에너지,인천 계양구 벌말로 342 외1필지,032-0553-7260,자동차충전
인천 계양구,서운가스충전소,인천 계양구 봉오대로 934 외 3필지,032-0544-1707,자동차충전
인천 계양구,협진충전소,인천 계양구 아나지로 275,032-0545-3225,자동차충전
인천 남동구,(주)남동가스충전소,인천 남동구 남동대로 626,032-0467-0038,자동차충전
인천 남동구,(주)가스코,인천 남동구 백범로 409 외1필지,032-0422-0066,자동차충전
인천 남동구,(자)한성가스,인천 남동구 석정로 495,032-0422-1277,자동차충전
인천 남동구,칠성가스(자),인천 남동구 석정로 524,032-0422-4280,자동차충전
인천 남동구,수산동충전소,인천 남동구 수산동 374외3필지(신주소없음),032-0473-7709,자동차충전
인천 남동구,장수충전소,인천 남동구 수인로 3735 1층,032-0472-1876,자동차충전
인천 남동구,스마일충전소,인천 남동구 염전로 403,032-0873-8069,자동차충전
인천 남동구,대공원충전소,인천 남동구 인주대로 1072외2필지,032-0465-0323,자동차충전
인천 남동구,논현충전소,인천 남동구 청능대로468번길 1 외 2필지,032-0446-9094,자동차충전
인천 동구,인천개인택시 복지제1충전소,인천 동구 방축로157번길 12,032-0578-4213,자동차충전
인천 동구,한일가스산업(주) 송현충전소,인천 동구 중봉대로 93,032-0761-5411,자동차충전
인천 미추홀구,(주)성림가스충전소,인천 미추홀구 경원대로 928 외1필지,032-0422-3301,용기+자동차+13kg용기
인천 미추홀구,도화충전소,인천 미추홀구 경인로 200 도화충전소,032-0875-1182,자동차충전
인천 미추홀구,인천LPG충전소,인천 미추홀구 매소홀로271번길 19,032-0865-0082,용기+13kg용기
인천 미추홀구,송강충전소,인천 미추홀구 소성로 24,032-0866-8935,자동차충전
인천 미추홀구,(주)그린가스충전소,인천 미추홀구 아암대로 132,032-0883-8822,자동차충전
인천 미추홀구,(주)청양엘피지 신기촌충전소,인천 미추홀구 인하로 277,032-0867-8181,자동차충전
인천 미추홀구,주안역엘피지충전소,인천 미추홀구 주안로 81,032-0873-8284,자동차충전
인천 미추홀구,한일가스산업(주)도화충전소,인천 미추홀구 한나루로 612,032-0715-5067,자동차충전
인천 부평구,(주)태보에너지,인천 부평구 경인로 1182,032-0502-1171,자동차충전
인천 부평구,다원에프엔씨(주)송내가스,인천 부평구 경인로 1196,032-0518-6001,용기+자동차+13kg용기
인천 부평구,구산충전소,인천 부평구 경인로 1203,032-0527-9898,자동차충전
인천 부평구,(주)태보에너지 지점,인천 부평구 경인로1148번길 9,032-0507-7861,자동차충전
인천 부평구,개인택시복지제2충전소,인천 부평구 마장로 482,032-0516-5801,자동차충전
인천 부평구,수도석유(주)십정충전소,인천 부평구 백범로 563 외5필지,032-0575-5180,자동차충전
인천 부평구,부평LPG충전소,인천 부평구 부평대로 216 외3필지,032-0507-8548,자동차충전
인천 부평구,한국지엠(주),인천 부평구 부평대로 233,032-0520-2537,자동차충전
인천 부평구,부평IC충전소,인천 부평구 부평북로 253,032-0506-8880,자동차충전
인천 부평구,주식회사토우,인천 부평구 부평북로 273,032-0529-5145,용기+자동차+탱크+13kg용기
인천 부평구,청천LPG충전소,인천 부평구 서달로 339,032-0502-9966,자동차충전
인천 부평구,지에스부평충전소,인천 부평구 안남로 399,032-0511-6583,자동차충전
인천 부평구,부평충전소,인천 부평구 안남로 421,032-0502-2580,자동차충전
인천 부평구,(주)에스엠에너지직영삼산충전소,인천 부평구 평천로 524,032-0529-5800,자동차충전
인천 서구,서울가스(주),인천 서구 가남로 107 외1필지,032-0575-5331,용기+자동차+13kg용기
인천 서구,극동유화(주) 한일충전소,인천 서구 가정로 13(가좌동),032-0576-2131,용기+탱크+13kg용기
인천 서구,서인천LPG충전소,인천 서구 경명대로 442(경서동),032-0568-1547,자동차충전
인천 서구,(주)엘피지뱅크,인천 서구 길주로45번길 11,032-0571-1851,용기충전
인천 서구,태능가스(주)대지충전소,인천 서구 방축로 345,032-0583-3322,자동차충전
인천 서구,가좌충전소,인천 서구 백범로 626외2필지,032-0582-5188,자동차충전
인천 서구,(주)이은에너지,인천 서구 백범로 845 외1필지,032-0572-2972,자동차충전
인천 서구,천일충전소,인천 서구 봉수대로 1158 외3필지,032-0569-5191,자동차충전
인천 서구,(주)그린에너지 대화충전소,인천 서구 봉수대로 1308,032-0567-2263,자동차충전
인천 서구,금곡가스프라자,인천 서구 봉수대로 1497 외1필지,032-0562-8010,자동차+13kg용기
인천 서구,우리에너지,인천 서구 봉수대로 1539,032-0566-4655,자동차충전
인천 서구,(주)이대일나누리충전소,인천 서구 봉수대로 203,032-0584-0888,자동차충전
인천 서구,태양엘피지(주),인천 서구 봉수대로 258,032-0573-2222,자동차충전
인천 서구,청라에너지,인천 서구 봉수대로 690,032-0562-7728,자동차충전
인천 서구,불로충전소,인천 서구 불로로 10,032-0564-4896,자동차충전
인천 서구,검단신도시충전소,인천 서구 원당대로 556 LPG충전소,032-0569-7085,자동차충전
인천 서구,점보충전소,인천 서구 장고개로238번길 9외 2필지,032-0575-8181,자동차충전
인천 서구,청라충전소,인천 서구 중봉대로 148 외1필지,032-0467-5145,자동차충전
인천 서구,경서충전소,인천 서구 중봉대로 777 외2필지,032-0568-2022,자동차+13kg용기
인천 연수구,인천터미널충전소,인천 연수구 매소홀로 730,032-0421-0362,자동차충전
인천 연수구,위드엘피지(주),인천 연수구 아암대로 841,032-0858-7888,자동차충전
인천 연수구,(주)E1 인천기지,인천 연수구 인천신항대로 940,032-0810-2133,탱크로리
인천 옹진군,동서가스충전소,인천 옹진군 백령면 백령남로 129,032-0214-1000,용기+자동차+탱크
인천 중구,(주)계동에너지인천공항점,인천 중구 공항동로465번길 10,032-0743-4190,자동차충전
인천 중구,S-Oil(주)인천저유소,인천 중구 연안부두로 125-1,032-0880-5851,탱크로리
인천 중구,서일산업(주)강원가스,인천 중구 연안부두로115번길 20,032-0883-0289,용기+자동차+13kg용기
인천 중구,(주)성림가스 인천충전소,인천 중구 축항대로87번길 5,032-0885-4961,용기+자동차+13kg용기
광주 광산구,광주엘피지충전소,광주 광산구 동곡로 122,062-0945-7777,자동차충전
광주 광산구,(주)제일에너지 동곡점,광주 광산구 동곡로 123,062-0943-1600,자동차충전
광주 광산구,동일가스,광주 광산구 동곡로 456,062-0942-5180,자동차충전
광주 광산구,부경LPG충전소,광주 광산구 동곡로 542,062-0943-5664,자동차충전
광주 광산구,(주)제일에너지,광주 광산구 목련로 358,062-0954-7227,자동차충전
광주 광산구,(주)대창석유직영 양지충전소,광주 광산구 무진대로 60 양지LPG충전소,062-0945-9090,자동차충전
광주 광산구,(주)이지개발산업,광주 광산구 무진대로 79,062-0941-0306,자동차충전
광주 광산구,신창엘피지충전소,광주 광산구 북문대로 354 신창 LPG 주유소,062-0955-1857,자동차충전
광주 광산구,(주)금정,광주 광산구 북문대로 365 LPG금정주유소,062-0955-7501,자동차충전
광주 광산구,한일LPG충전소,광주 광산구 북문대로420번길 92,062-0955-6838,자동차충전
