,행정구역,업소명,소재지,전화번호,관리구분,위도,경도
46,부산 사상구,광신가스(주),부산 사상구 낙동대로 939,051-0311-0131,용기+자동차+13kg용기,35.1445332972641,128.96931569719
47,부산 사상구,대성산업(주)부산대성충전소,부산 사상구 사상로 339,051-0303-4747,용기+자동차+13kg용기,35.1749089374767,128.983754445263
48,부산 사상구,(주)덕양에너지 직영 구덕산충전소,부산 사상구 학감대로 102,051-0312-0085,자동차충전,35.1408337697412,128.989654096475
49,부산 사상구,주식회사엠에스가스학장충전소,부산 사상구 학장로 165,051-0315-7174,자동차충전,35.1427018632162,128.98524100333
50,부산 사상구,(사)부산광역시 개인택시운송사업조합 사상LPG충전소,부산 사상구 학장로 21,051-0327-9446,자동차충전,35.1350389133572,128.973047740942
51,부산 사하구,광진기업(주)장림영업소,부산 사하구 다대로 309,051-0263-3131,용기+자동차+13kg용기,35.0750066396509,128.977162554724
52,부산 사하구,(주)신성에너지은광가스충전소,부산 사하구 사하로 90,051-0206-3326,용기+자동차+13kg용기,35.0900571383635,128.994629865714
53,부산 사하구,광신가스(주)을숙도대로충전소,부산 사하구 을숙도대로 530,051-0205-8800,자동차충전,35.0852246647706,128.963646285318
54,부산 사하구,개인택시사하엘피지충전소,부산 사하구 을숙도대로 583,051-0204-8630,자동차충전,35.0855336324053,128.969348920983
55,부산 사하구,부산엘피지충전소,부산 사하구 장림로 139,051-0264-9752,자동차충전,35.0828722136485,128.964073694076
56,부산 사하구,(주)신광에너지 장림충전소,부산 사하구 장림로 278,051-0263-7742,자동차충전,35.0833013231141,128.978937290509
57,부산 서구,(주)신광에너지,부산 서구 충무대로 180,051-0248-7365,용기+자동차+13kg용기,35.0864903512918,129.024790706004
58,부산 수영구,(주)수영에너지산업,부산 수영구 수영로 749,051-0751-3436,자동차충전,35.1683138664941,129.1210599159
59,부산 연제구,마라톤가스(주)새동래충전소,부산 연제구 명륜로 15,051-0501-7635,자동차충전,35.1966947291271,129.081773543628
60,부산 연제구,부산개인택시엘피지충전소,부산 연제구 월드컵대로 399,051-0507-8983,자동차충전,35.1860133142641,129.05597409928
61,부산 영도구,(주)태종에너지,부산 영도구 영선대로 41,051-0415-1837,자동차충전,35.0849963865357,129.040033013126
62,부산 영도구,부산에너지,부산 영도구 해양로 160,051-0403-5752,용기+자동차+탱크+13kg용기,35.0912747499963,129.069484516262
63,부산 영도구,개인택시 영도LPG충전소,부산 영도구 해양로 296,051-0403-8987,자동차충전,35.0821758341156,129.076429233525
64,부산 해운대구,이원 해운대LPG충전소,부산 해운대구 해운대로 1255,051-0704-9196,용기+자동차+탱크+13kg용기,35.1967278925561,129.205260082953
